,station,latitude,longitude,Mean,Std,V0,V1,V2
6232,USC00248473,46.55,-112.0833,13.0091412742,10.7579024402,68.8263032981,-6.0597570927,5.4062999317
6233,USC00173353,45.4667,-69.5833,10.846978022,12.2402491665,118.184528635,5.33716806003,10.1522695029
6234,ASN00061078,-32.7932,151.8359,22.7983516484,5.14536466178,-196.389917223,-168.582561064,-2.83636227228
6235,USC00352371,46.0333,-123.0333,13.421978022,7.76915643373,42.1430333903,-51.5376725421,-14.0362667907
6236,VMW00041003,16.05,108.2,29.8355371901,4.83840568938,-265.329321348,21.5422380439,-5.37871823483
6237,CA008206410,44.98,-64.1,10.3343406593,11.6957469425,127.17787304,-1.47446511084,9.37677514351
6238,USW00024090,44.0433,-103.0536,14.9434065934,12.4989377764,46.3034292546,34.2140494299,4.37021841215
6239,RSM00029653,55.3,89.817,9.68614718615,11.9455720339,107.524373971,-48.3974577824,-37.9542335187
6240,CA006139445,43.0,-79.27,13.446978022,11.0275960881,67.0751233708,9.2156086722,-7.72080403066
6241,RSM00027947,52.8,41.333,10.5247933884,13.6073911268,137.759601633,32.9286747842,-7.60553739913
6242,USC00505883,61.4253,-149.4075,6.17101449275,12.2089715344,192.855486672,-31.1961349107,-33.8602630502
6243,USC00145173,37.2767,-98.58,19.803021978,13.6711180556,-32.1102662939,87.7210490279,4.98022921339
6244,USW00093825,37.0956,-89.9161,20.2398280802,10.7971815793,-54.7126353463,45.0642151714,-6.62334902405
6245,USC00309495,44.3842,-73.3819,10.6623417722,10.9202027771,87.1740770257,2.78023449496,0.106284956371
6246,USC00181995,38.9833,-76.95,18.6803867403,10.5924306793,-29.6380749704,35.2744155387,-1.70422212826
6247,SPE00120584,39.4867,0.4731,22.743956044,5.96515907678,-133.546177461,-14.4077759772,1.9114378185
6248,USC00032148,33.8847,-91.5317,24.784984985,8.57278411032,-118.416957786,45.6620329639,-22.8975520703
6249,USC00193624,42.2269,-70.9125,14.731043956,10.3581654369,36.3242630196,-0.51107975014,-5.47231017016
6250,USC00422578,39.3583,-111.5992,17.910989011,11.402295899,-12.4156181021,38.9746269289,11.1782311743
6251,USW00012843,27.6531,-80.2428,27.6824175824,4.50779772274,-231.446015885,-5.00577485615,11.6606609948
6252,ASN00069132,-35.4253,149.7835,19.612244898,6.22397053706,-129.361799141,-189.973486089,23.7411540409
6253,CA001025977,49.33,-124.3,13.9407713499,6.4242731383,27.1244677637,-63.1412812379,0.391843071018
6254,KZ000028978,52.533,68.75,8.22337662338,15.5448734281,167.506037176,14.95805895,25.1642665987
6255,CA008300100,46.05,-62.6,10.6928571429,11.2643658495,116.950246056,-11.7665197853,36.4579958824
6256,RSM00035127,51.017,55.633,9.86011080332,15.5887243144,162.138281704,63.4514738364,-13.7799650162
6257,USC00289135,39.4833,-75.0,17.9641833811,10.4551055915,-16.2309537779,26.9357945684,3.00072111936
6258,USW00013960,32.8519,-96.8556,24.5016483516,8.04442319472,-154.1044283,29.4368464876,-7.76119571813
6259,USW00093739,37.9406,-75.4631,17.0785714286,9.2394062974,-11.6901379321,-0.520034965679,39.961902589
